transaction_id,amount,transaction_date,month_index,product_Flood,product_Homeowners,product_Renters,region_Midwest,region_Northeast,region_South,region_West
1,21.52,2024-01-21,1,0,0,1,0,0,0,1
2,12.76,2024-03-28,3,0,0,1,0,1,0,0
3,20.46,2024-11-04,11,0,0,1,0,1,0,0
4,91.27,2024-07-10,7,1,0,0,0,0,1,0
5,197.09,2024-09-09,9,1,0,0,0,0,1,0
6,19.95,2025-04-20,16,0,0,1,1,0,0,0
7,59.01,2025-07-16,19,1,0,0,1,0,0,0
8,18.07,2025-04-29,16,0,0,1,0,0,0,1
9,12.85,2025-01-22,13,0,0,1,0,1,0,0
10,178.91,2024-12-11,12,0,1,0,0,0,1,0
11,17.72,2025-03-30,15,0,0,1,0,0,1,0
12,14.25,2024-03-21,3,0,0,1,0,0,0,1
13,16.05,2025-01-24,13,0,0,1,0,0,1,0
14,12.41,2025-02-05,14,0,0,1,0,0,1,0
15,23.63,2024-09-26,9,0,0,1,0,0,0,1
16,19.42,2024-09-08,9,0,0,1,1,0,0,0
17,17.05,2024-12-03,12,0,0,1,1,0,0,0
18,24.55,2024-07-06,7,0,0,1,0,0,1,0
19,22.43,2024-03-05,3,0,0,1,0,1,0,0
20,17.13,2025-04-16,16,0,0,1,0,0,1,0
21,21.25,2025-02-22,14,0,0,1,1,0,0,0
22,16.66,2024-02-10,2,0,0,1,0,1,0,0
23,183.71,2024-02-02,2,0,1,0,0,0,0,1
24,16.23,2024-04-08,4,0,0,1,1,0,0,0
25,19.3,2025-09-04,21,0,0,1,1,0,0,0
26,226.26,2025-05-17,17,1,0,0,0,0,1,0
27,18.8,2024-01-15,1,0,0,1,0,0,1,0
28,14.62,2024-08-28,8,0,0,1,0,0,1,0
29,23.8,2025-02-10,14,0,0,1,0,0,1,0
30,14.64,2025-06-08,18,0,0,1,0,0,1,0
31,14.1,2025-07-31,19,0,0,1,1,0,0,0
32,13.37,2024-01-28,1,0,0,1,1,0,0,0
33,23.48,2025-05-20,17,0,0,1,0,0,1,0
34,23.79,2025-01-19,13,0,0,1,1,0,0,0
35,22.63,2024-09-15,9,0,0,1,0,0,1,0
36,17.43,2024-08-12,8,0,0,1,0,0,1,0
37,24.26,2025-01-08,13,0,0,1,1,0,0,0
38,17.25,2025-05-11,17,0,0,1,0,0,1,0
39,21.05,2025-01-21,13,0,0,1,1,0,0,0
40,12.48,2024-04-22,4,0,0,1,1,0,0,0
41,43.76,2024-08-12,8,1,0,0,0,0,1,0
42,18.9,2025-02-19,14,0,0,1,0,0,1,0
43,16.81,2025-02-04,14,0,0,1,0,1,0,0
44,20.22,2024-07-16,7,0,0,1,1,0,0,0
45,22.38,2024-07-19,7,0,0,1,0,0,0,1
46,12.53,2025-02-06,14,0,0,1,0,1,0,0
47,16.53,2025-05-03,17,0,0,1,0,0,0,1
48,24.18,2025-04-17,16,0,0,1,0,0,1,0
49,21.05,2024-09-19,9,0,0,1,0,0,1,0
50,19.22,2025-07-25,19,0,0,1,0,0,0,1
51,24.55,2025-03-28,15,0,0,1,0,0,0,1
52,175.43,2024-04-08,4,0,1,0,0,0,1,0
53,23.13,2024-02-23,2,0,0,1,0,0,0,1
54,13.09,2025-02-23,14,0,0,1,0,0,1,0
55,150.69,2025-05-24,17,0,1,0,0,0,1,0
56,171.29,2024-12-03,12,0,1,0,0,0,0,1
57,24.93,2024-06-09,6,0,0,1,0,0,1,0
58,14.32,2025-05-18,17,0,0,1,0,0,1,0
59,20.55,2024-02-02,2,0,0,1,0,0,0,1
60,20.27,2024-01-22,1,0,0,1,0,0,1,0
61,17.11,2025-03-13,15,0,0,1,0,0,0,1
62,176.26,2025-08-31,20,0,1,0,0,0,1,0
63,14.54,2025-05-30,17,0,0,1,0,0,1,0
64,14.3,2024-08-07,8,0,0,1,0,0,1,0
65,23.49,2024-02-06,2,0,0,1,1,0,0,0
66,222.5,2024-04-08,4,0,1,0,0,0,1,0
67,116.01,2024-06-09,6,1,0,0,0,1,0,0
68,19.24,2025-07-19,19,0,0,1,0,1,0,0
69,13.26,2024-10-14,10,0,0,1,0,0,1,0
70,15.3,2025-05-04,17,0,0,1,1,0,0,0
71,202.28,2024-09-02,9,0,1,0,0,0,1,0
72,22.52,2025-02-11,14,0,0,1,1,0,0,0
73,187.61,2024-01-20,1,0,1,0,0,0,1,0
74,22.35,2025-04-15,16,0,0,1,0,0,1,0
75,17.7,2024-02-20,2,0,0,1,0,0,1,0
76,15.73,2024-11-09,11,0,0,1,0,0,1,0
77,152.91,2024-02-23,2,0,1,0,1,0,0,0
78,22.76,2025-07-25,19,0,0,1,1,0,0,0
79,13.11,2024-12-15,12,0,0,1,0,0,1,0
80,21.44,2024-09-25,9,0,0,1,0,0,1,0
81,45.88,2024-04-29,4,1,0,0,0,0,1,0
82,13.02,2025-04-18,16,0,0,1,0,0,1,0
83,219.43,2024-02-27,2,1,0,0,0,0,1,0
84,167.98,2024-04-27,4,0,1,0,0,0,1,0
85,15.64,2024-09-28,9,0,0,1,0,0,1,0
86,17.66,2024-09-03,9,0,0,1,0,0,1,0
87,14.06,2024-03-26,3,0,0,1,0,0,1,0
88,12.6,2024-04-03,4,0,0,1,0,1,0,0
89,185.56,2024-08-05,8,0,1,0,0,0,1,0
90,16.5,2024-09-10,9,0,0,1,0,0,0,1
91,20.01,2024-04-09,4,0,0,1,0,0,1,0
92,20.14,2025-03-17,15,0,0,1,0,0,1,0
93,20.89,2024-01-16,1,0,0,1,0,0,1,0
94,12.34,2024-06-08,6,0,0,1,0,0,1,0
95,179.11,2025-01-14,13,0,1,0,0,0,1,0
96,22.67,2024-09-24,9,0,0,1,0,0,0,1
97,23.77,2025-07-09,19,0,0,1,0,0,0,1
98,16.9,2024-09-09,9,0,0,1,1,0,0,0
99,12.93,2025-08-27,20,0,0,1,0,0,1,0
100,211.09,2025-09-08,21,0,1,0,0,1,0,0
101,16.53,2024-03-15,3,0,0,1,0,0,1,0
102,210.26,2025-01-28,13,0,1,0,0,0,1,0
103,19.49,2024-04-08,4,0,0,1,0,0,1,0
104,22.09,2024-07-08,7,0,0,1,0,0,1,0
105,20.84,2024-10-05,10,0,0,1,1,0,0,0
