transaction_id,product_type,region,amount,transaction_date
1,Renters,West,21.52,2024-01-21
2,Renters,Northeast,12.76,2024-03-28
3,Renters,Northeast,20.46,2024-11-04
4,Flood,South,91.27,2024-07-10
5,Flood,South,197.09,2024-09-09
6,Renters,Midwest,19.95,2025-04-20
7,Flood,Midwest,59.01,2025-07-16
8,Renters,West,18.07,2025-04-29
9,Renters,Northeast,12.85,2025-01-22
10,Homeowners,South,178.91,2024-12-11
11,Renters,South,17.72,2025-03-30
12,Renters,West,14.25,2024-03-21
13,Renters,South,16.05,2025-01-24
14,Renters,South,12.41,2025-02-05
15,Renters,West,23.63,2024-09-26
16,Renters,Midwest,19.42,2024-09-08
17,Renters,Midwest,17.05,2024-12-03
18,Renters,South,24.55,2024-07-06
19,Renters,Northeast,22.43,2024-03-05
20,Renters,South,17.13,2025-04-16
21,Renters,Midwest,21.25,2025-02-22
22,Renters,Northeast,16.66,2024-02-10
23,Homeowners,West,183.71,2024-02-02
24,Renters,Midwest,16.23,2024-04-08
25,Renters,Midwest,19.3,2025-09-04
26,Flood,South,226.26,2025-05-17
27,Renters,South,18.8,2024-01-15
28,Renters,South,14.62,2024-08-28
29,Renters,South,23.8,2025-02-10
30,Renters,South,14.64,2025-06-08
31,Renters,Midwest,14.1,2025-07-31
32,Renters,Midwest,13.37,2024-01-28
33,Renters,South,23.48,2025-05-20
34,Renters,Midwest,23.79,2025-01-19
35,Renters,South,22.63,2024-09-15
36,Renters,South,17.43,2024-08-12
37,Renters,Midwest,24.26,2025-01-08
38,Renters,South,17.25,2025-05-11
39,Renters,Midwest,21.05,2025-01-21
40,Renters,Midwest,12.48,2024-04-22
41,Flood,South,43.76,2024-08-12
42,Renters,South,18.9,2025-02-19
43,Renters,Northeast,16.81,2025-02-04
44,Renters,Midwest,20.22,2024-07-16
45,Renters,West,22.38,2024-07-19
46,Renters,Northeast,12.53,2025-02-06
47,Renters,West,16.53,2025-05-03
48,Renters,South,24.18,2025-04-17
49,Renters,South,21.05,2024-09-19
50,Renters,West,19.22,2025-07-25
51,Renters,West,24.55,2025-03-28
52,Homeowners,South,175.43,2024-04-08
53,Renters,West,23.13,2024-02-23
54,Renters,South,13.09,2025-02-23
55,Homeowners,South,150.69,2025-05-24
56,Homeowners,West,171.29,2024-12-03
57,Renters,South,24.93,2024-06-09
58,Renters,South,14.32,2025-05-18
59,Renters,West,20.55,2024-02-02
60,Renters,South,20.27,2024-01-22
61,Renters,West,17.11,2025-03-13
62,Homeowners,South,176.26,2025-08-31
63,Renters,South,14.54,2025-05-30
64,Renters,South,14.3,2024-08-07
65,Renters,Midwest,23.49,2024-02-06
66,Homeowners,South,222.5,2024-04-08
67,Flood,Northeast,116.01,2024-06-09
68,Renters,Northeast,19.24,2025-07-19
69,Renters,South,13.26,2024-10-14
70,Renters,Midwest,15.3,2025-05-04
71,Homeowners,South,202.28,2024-09-02
72,Renters,Midwest,22.52,2025-02-11
73,Homeowners,South,187.61,2024-01-20
74,Renters,South,22.35,2025-04-15
75,Renters,South,17.7,2024-02-20
76,Renters,South,15.73,2024-11-09
77,Homeowners,Midwest,152.91,2024-02-23
78,Renters,Midwest,22.76,2025-07-25
79,Renters,South,13.11,2024-12-15
80,Renters,South,21.44,2024-09-25
81,Flood,South,45.88,2024-04-29
82,Renters,South,13.02,2025-04-18
83,Flood,South,219.43,2024-02-27
84,Homeowners,South,167.98,2024-04-27
85,Renters,South,15.64,2024-09-28
86,Renters,South,17.66,2024-09-03
87,Renters,South,14.06,2024-03-26
88,Renters,Northeast,12.6,2024-04-03
89,Homeowners,South,185.56,2024-08-05
90,Renters,West,16.5,2024-09-10
91,Renters,South,20.01,2024-04-09
92,Renters,South,20.14,2025-03-17
93,Renters,South,20.89,2024-01-16
94,Renters,South,12.34,2024-06-08
95,Homeowners,South,179.11,2025-01-14
96,Renters,West,22.67,2024-09-24
97,Renters,West,23.77,2025-07-09
98,Renters,Midwest,16.9,2024-09-09
99,Renters,South,12.93,2025-08-27
100,Homeowners,Northeast,211.09,2025-09-08
101,Renters,South,16.53,2024-03-15
102,Homeowners,South,210.26,2025-01-28
103,Renters,South,19.49,2024-04-08
104,Renters,South,22.09,2024-07-08
105,Renters,Midwest,20.84,2024-10-05
106,Renters,Northeast,23.73,2024-03-02
107,Renters,South,15.87,2024-01-19
108,Renters,Northeast,23.77,2024-03-16
109,Renters,West,20.8,2025-07-17
110,Renters,South,17.83,2024-04-08
111,Renters,South,14.77,2025-07-18
112,Renters,West,13.19,2024-02-11
113,Flood,West,49.81,2024-06-11
114,Homeowners,Midwest,158.78,2025-08-10
115,Renters,West,23.27,2024-08-17
116,Renters,South,12.95,2025-09-25
117,Renters,South,15.03,2025-05-10
118,Homeowners,West,167.75,2024-11-22
119,Flood,South,134.71,2025-02-18
120,Renters,South,21.17,2025-06-14
